"name","MW","RT","INCHIKEY"
" GALACTURONATE_AEMOLEFTQBMNLQ-UHFFFAOYSA-N"," 194.0427"," 10.84","AEMOLEFTQBMNLQ-UHFFFAOYSA-N"
" Aloin_AFHJQYHRLPMKHU-UHFFFAOYSA-N"," 418.1264"," 1.76","AFHJQYHRLPMKHU-UHFFFAOYSA-N"
" D-ORNITHINE_AHLPHDHHMVZTML-SCSAIBSYSA-N"," 132.0899"," 9.49","AHLPHDHHMVZTML-SCSAIBSYSA-N"
" Hesperetin_AIONOLUJZLIMTK-AWEZNQCLSA-N"," 302.0790"," 0.71","AIONOLUJZLIMTK-AWEZNQCLSA-N"
" Hesperetin_AIONOLUJZLIMTK-AWEZNQCLSA-N"," 302.0790"," 0.70","AIONOLUJZLIMTK-AWEZNQCLSA-N"
" 2,6-Dihydroxybenzoic acid_AKEUNCKRJATALU-UHFFFAOYSA-N"," 154.0266"," 0.70","AKEUNCKRJATALU-UHFFFAOYSA-N"
" DL-2-Aminooctanoic acid_AKVBCGQVQXPRLD-UHFFFAOYSA-N"," 159.1259"," 5.88","AKVBCGQVQXPRLD-UHFFFAOYSA-N"
" DL-2-Aminooctanoic acid_AKVBCGQVQXPRLD-UHFFFAOYSA-N"," 159.1259"," 5.85","AKVBCGQVQXPRLD-UHFFFAOYSA-N"
" cis-4-hydroxycyclohexylacetic acid_ALTAAUJNHYWOGS-UHFFFAOYSA-N"," 158.0943"," 0.91","ALTAAUJNHYWOGS-UHFFFAOYSA-N"
" Ginkgolide C_AMOGMTLMADGEOQ-UHFFFAOYSA-N"," 440.1319"," 0.80","AMOGMTLMADGEOQ-UHFFFAOYSA-N"
" Lenticin_AOHCBEAZXHZMOR-ZDUSSCGKSA-N"," 246.1368"," 5.26","AOHCBEAZXHZMOR-ZDUSSCGKSA-N"
" Hesperetin 7-neohesperidoside_ARGKVCXINMKCAZ-UHFFFAOYSA-N"," 610.1898"," 4.89","ARGKVCXINMKCAZ-UHFFFAOYSA-N"
" 3-Hydroxytetradecanoic acid_ATRNZOYKSNPPBF-ZDUSSCGKSA-N"," 244.2038"," 0.76","ATRNZOYKSNPPBF-ZDUSSCGKSA-N"
" RIBOFLAVIN_AUNGANRZJHBGPY-SCRDCRAPSA-N"," 376.1383"," 5.72","AUNGANRZJHBGPY-SCRDCRAPSA-N"
" DETHIOBIOTIN_AUTOLBMXDDTRRT-JGVFFNPUSA-N"," 214.1317"," 1.10","AUTOLBMXDDTRRT-JGVFFNPUSA-N"
" LIOTHYRONINE_AUYYCJSJGJYCDS-LBPRGKRZSA-N"," 650.7901"," 5.57","AUYYCJSJGJYCDS-LBPRGKRZSA-N"
" GLYCEROL 3-PHOSPHATE_AWUCVROLDVIAJX-GSVOUGTGSA-N"," 172.0137"," 0.92","AWUCVROLDVIAJX-GSVOUGTGSA-N"
" THREONINE_AYFVYJQAPQTCCC-GBXIJSLDSA-N"," 119.0582"," 8.13","AYFVYJQAPQTCCC-GBXIJSLDSA-N"
" ALLOTHREONINE_AYFVYJQAPQTCCC-HRFVKAFMSA-N"," 119.0582"," 8.10","AYFVYJQAPQTCCC-HRFVKAFMSA-N"
" L-Allothreonine_AYFVYJQAPQTCCC-HRFVKAFMSA-N"," 119.0582"," 8.09","AYFVYJQAPQTCCC-HRFVKAFMSA-N"
" 3-METHYL-2-OXINDOLE_BBZCPUCZKLTAJQ-UHFFFAOYSA-N"," 147.0684"," 0.90","BBZCPUCZKLTAJQ-UHFFFAOYSA-N"
" Neopterin_BMQYVXCPAOLZOK-UHFFFAOYSA-N"," 253.0811"," 7.49","BMQYVXCPAOLZOK-UHFFFAOYSA-N"
" Dihydroferulic acid_BOLQJTPHPSDZHR-UHFFFAOYSA-N"," 196.0736"," 0.76","BOLQJTPHPSDZHR-UHFFFAOYSA-N"
" 1-Phenyl-1,2-propanedione_BVQVLAIMHVDZEL-UHFFFAOYSA-N"," 148.0524"," 8.39","BVQVLAIMHVDZEL-UHFFFAOYSA-N"
" ALPHA-HYDROXYISOBUTYRATE_BWLBGMIXKSTLSX-UHFFFAOYSA-N"," 104.0473"," 12.55","BWLBGMIXKSTLSX-UHFFFAOYSA-N"
" INDOXYL SULFATE_BXFFHSIDQOFMLE-UHFFFAOYSA-N"," 213.0096"," 0.78","BXFFHSIDQOFMLE-UHFFFAOYSA-N"
" 1,3,7-Trimethyluric acid_BYXCFUMGEBZDDI-UHFFFAOYSA-N"," 210.0753"," 1.00","BYXCFUMGEBZDDI-UHFFFAOYSA-N"
" 1,3,7-Trimethyluric acid_BYXCFUMGEBZDDI-UHFFFAOYSA-N"," 210.0753"," 1.00","BYXCFUMGEBZDDI-UHFFFAOYSA-N"
" Ala-Ala-Ala_BYXHQQCXAJARLQ-UHFFFAOYSA-N"," 231.1219"," 8.05","BYXHQQCXAJARLQ-UHFFFAOYSA-N"
" N-ACETYLPHENYLALANINE_CBQJSKKFNMDLON-JTQLQIEISA-N"," 207.0895"," 1.28","CBQJSKKFNMDLON-JTQLQIEISA-N"
" 3-Hydroxyhexadecanoic acid_CBWALJHXHCJYTE-HNNXBMFYSA-N"," 272.2351"," 0.78","CBWALJHXHCJYTE-HNNXBMFYSA-N"
" ortho-Hydroxyphenylacetic acid_CCVYRRGZDBSHFU-UHFFFAOYSA-N"," 152.0473"," 0.86","CCVYRRGZDBSHFU-UHFFFAOYSA-N"
" chiro-Inositol_CDAISMWEOUEBRE-UHFFFAOYSA-N"," 180.0634"," 8.20","CDAISMWEOUEBRE-UHFFFAOYSA-N"
" MYOINOSITOL_CDAISMWEOUEBRE-UHFFFAOYSA-N"," 180.0634"," 7.49","CDAISMWEOUEBRE-UHFFFAOYSA-N"
" scyllo-Inositol_CDAISMWEOUEBRE-UHFFFAOYSA-N"," 180.0634"," 0.94","CDAISMWEOUEBRE-UHFFFAOYSA-N"
" 2-AMINOPHENOL_CDAWCLOXVUBKRW-UHFFFAOYSA-N"," 109.0528"," 0.82","CDAWCLOXVUBKRW-UHFFFAOYSA-N"
" 3,3',4'5-Tetrahydroxystilbene_CDRPUGZCRXZLFL-OWOJBTEDSA-N"," 244.0736"," 0.88","CDRPUGZCRXZLFL-OWOJBTEDSA-N"
" 2,5-Furandicarboxylic acid_CHTHALBTIRVDBM-UHFFFAOYSA-N"," 156.0059"," 7.88","CHTHALBTIRVDBM-UHFFFAOYSA-N"
" 3-(2-HYDROXYPHENYL)PROPANOATE_CJBDUOMQLFKVQC-UHFFFAOYSA-N"," 166.0630"," 0.76","CJBDUOMQLFKVQC-UHFFFAOYSA-N"
" DEOXYCYTIDINE_CKTSBUTUHBMZGZ-SHYZEUOFSA-N"," 227.0906"," 5.18","CKTSBUTUHBMZGZ-SHYZEUOFSA-N"
" CARNOSINE_CQOVPNPJLQNMDC-ZETCQYMHSA-N"," 226.1066"," 9.44","CQOVPNPJLQNMDC-ZETCQYMHSA-N"
" 12,13-DiHOME_CQSLTKIXAJTQGA-BTDPBSJTSA-N"," 314.2457"," 0.72","CQSLTKIXAJTQGA-BTDPBSJTSA-N"
" Phenol sulfate_CTYRPMDGLDAWRQ-UHFFFAOYSA-N"," 173.9987"," 0.75","CTYRPMDGLDAWRQ-UHFFFAOYSA-N"
" CREATINE_CVSVTCORWBXHQV-UHFFFAOYSA-N"," 131.0695"," 7.82","CVSVTCORWBXHQV-UHFFFAOYSA-N"
" SEBACATE_CXMXRPHRNRROMY-UHFFFAOYSA-N"," 202.1205"," 0.78","CXMXRPHRNRROMY-UHFFFAOYSA-N"
" 2,4-Dihydroxy-nitrophenol_CYEZXDVLBGFROE-UHFFFAOYSA-N"," 155.0219"," 0.70","CYEZXDVLBGFROE-UHFFFAOYSA-N"
" SUCROSE_CZMRCDWAGMRECN-UGDNZRGBSA-N"," 342.1162"," 8.08","CZMRCDWAGMRECN-UGDNZRGBSA-N"
" L-Theanine_DATAGRPVKZEWHA-YFKPBYRVSA-N"," 174.1004"," 7.47","DATAGRPVKZEWHA-YFKPBYRVSA-N"
" L-Theanine_DATAGRPVKZEWHA-YFKPBYRVSA-N"," 174.1004"," 8.15","DATAGRPVKZEWHA-YFKPBYRVSA-N"
" 3-Hydroxyisobutyric acid_DBXBTMSZEOQQDU-GSVOUGTGSA-N"," 104.0473"," 1.09","DBXBTMSZEOQQDU-GSVOUGTGSA-N"
" ASPARAGINE_DCXYFEDJOCDNAF-REOHCLBHSA-N"," 132.0535"," 8.48","DCXYFEDJOCDNAF-REOHCLBHSA-N"
" CREATININE_DDRJAANPRJIHGJ-UHFFFAOYSA-N"," 113.0589"," 3.08","DDRJAANPRJIHGJ-UHFFFAOYSA-N"
" Naringin_DFPMSGMNTNDNHN-ZPHOTFPESA-N"," 580.1792"," 0.92","DFPMSGMNTNDNHN-ZPHOTFPESA-N"
" beta-Glycerophosphoric acid_DHCLVCXQIBBOPH-UHFFFAOYSA-N"," 172.0137"," 0.98","DHCLVCXQIBBOPH-UHFFFAOYSA-N"
" PREGNENOLONE SULFATE_DIJBBUIOWGGQOP-OZIWPBGVSA-N"," 396.1970"," 0.74","DIJBBUIOWGGQOP-OZIWPBGVSA-N"
